"Boss","Counter","Type","Fast Attack","Charged Attack"
"Exeggutor","Houndoom","Good","Fire Fang","Foul Play"
"Exeggutor","Dragonite","Good","Dragon Tail","Outrage"
"Exeggutor","Dragonite","Good","Dragon Tail","Hurricane"
"Exeggutor","Dragonite","Good","Dragon Tail","Dragon Claw"
"Exeggutor","Dragonite","Good","Dragon Breath","Outrage"
"Exeggutor","Dragonite","Good","Dragon Breath","Hurricane"
"Exeggutor","Dragonite","Good","Dragon Breath","Dragon Claw"
"Exeggutor","Tyranitar","Good","Bite","Stone Edge"
"Exeggutor","Tyranitar","Good","Bite","Crunch"
"Exeggutor","Gengar","Glass","Hex","Shadow Ball"
"Exeggutor","Gengar","Glass","Hex","Sludge Bomb"
"Exeggutor","Gengar","Glass","Shadow Claw","Shadow Ball"
"Exeggutor","Gengar","Glass","Shadow Claw","Sludge Bomb"
"Exeggutor","Gengar","Glass","Sucker Punch","Shadow Ball"
"Exeggutor","Gengar","Glass","Sucker Punch","Sludge Bomb"
"Weezing","Rhydon","Supreme","Mud Slap","Earthquake"
"Weezing","Golem","Supreme","Mud Slap","Earthquake"
"Weezing","Golem","Supreme","Mud Shot","Earthquake"
"Weezing","Dragonite","Good","Dragon Tail","Outrage"
"Weezing","Dragonite","Good","Dragon Tail","Hurricane"
"Weezing","Dragonite","Good","Dragon Tail","Dragon Claw"
"Weezing","Dragonite","Good","Dragon Breath","Outrage"
"Weezing","Dragonite","Good","Dragon Breath","Hurricane"
"Weezing","Dragonite","Good","Dragon Breath","Dragon Claw"
"Weezing","Espeon","Good","Confusion","Future Sight"
"Weezing","Espeon","Good","Zen Headbutt","Future Sight"
"Weezing","Alakazam","Good","Confusion","Future Sight"
"Weezing","Alakazam","Good","Psycho Cut","Future Sight"
"Weezing","Gengar","Good","Shadow Claw","Shadow Ball"
"Weezing","Gengar","Good","Hex","Shadow Ball"
"Weezing","Gengar","Good","Sucker Punch","Shadow Ball"
"Weezing","Exeggutor","Glass","Confusion","Psychic"
"Weezing","Exeggutor","Glass","Extrasensory","Psychic"
"Electabuzz","Rhydon","Supreme","Mud Slap","Earthquake"
"Electabuzz","Golem","Supreme","Mud Slap","Earthquake"
"Electabuzz","Golem","Supreme","Mud Shot","Earthquake"
"Electabuzz","Dragonite","Good","Dragon Tail","Outrage"
"Electabuzz","Dragonite","Good","Dragon Tail","Hurricane"
"Electabuzz","Dragonite","Good","Dragon Tail","Dragon Claw"
"Electabuzz","Dragonite","Good","Dragon Breath","Outrage"
"Electabuzz","Dragonite","Good","Dragon Breath","Hurricane"
"Electabuzz","Dragonite","Good","Dragon Breath","Dragon Claw"
"Electabuzz","Machamp","Good","Counter","Dynamic Punch"
"Electabuzz","Machamp","Good","Counter","Close Combat"
"Electabuzz","Machamp","Good","Counter","Cross Chop"
"Electabuzz","Machamp","Good","Karate Chop","Dynamic Punch"
"Electabuzz","Machamp","Good","Karate Chop","Close Combat"
"Electabuzz","Machamp","Good","Karate Chop","Cross Chop"
"Electabuzz","Exeggutor","Good","Confusion","Solar Beam"
"Electabuzz","Exeggutor","Good","Extrasensory","Solar Beam"
"Electabuzz","Tyranitar","Good","Bite","Stone Edge"
"Electabuzz","Flareon","Good","Fire Spin","Overheat"
"Electabuzz","Flareon","Good","Fire Spin","Flamethrower"
"Electabuzz","Gengar","Glass","Shadow Claw","Shadow Ball"
"Electabuzz","Gengar","Glass","Shadow Claw","Sludge Bomb"
"Electabuzz","Espeon","Glass","Confusion","Future Sight"
"Electabuzz","Espeon","Glass","Zen Headbutt","Future Sight"
"Electabuzz","Alakazam","Glass","Confusion","Future Sight"
"Electabuzz","Alakazam","Glass","Psycho Cut","Future Sight"
"Electabuzz","Donphan","Tank","Counter","Earthquake"
"Electabuzz","Nidoking","Tank","Fury Cutter","Earthquake"
"Electabuzz","Sandslash","Tank","Mud Shot","Earthquake"
"Magmar","Vaporeon","Supreme","Water Gun","Hydro Pump"
"Magmar","Vaporeon","Supreme","Water Gun","Aqua Tail"
"Magmar","Omastar","Supreme","Rock Throw","Rock Slide"
"Magmar","Omastar","Supreme","Rock Throw","Hydro Pump"
"Magmar","Omastar","Supreme","Rock Throw","Rock Blast"
"Magmar","Omastar","Supreme","Water Gun","Rock Slide"
"Magmar","Omastar","Supreme","Water Gun","Hydro Pump"
"Magmar","Omastar","Supreme","Water Gun","Rock Blast"
"Magmar","Rhydon","Good","Mud Slap","Earthquake"
"Magmar","Golem","Good","Mud Slap","Earthquake"
"Magmar","Golem","Good","Mud Shot","Earthquake"
"Magmar","Dragonite","Good","Dragon Tail","Outrage"
"Magmar","Dragonite","Good","Dragon Tail","Hurricane"
"Magmar","Dragonite","Good","Dragon Tail","Dragon Claw"
"Magmar","Dragonite","Good","Dragon Breath","Outrage"
"Magmar","Dragonite","Good","Dragon Breath","Hurricane"
"Magmar","Dragonite","Good","Dragon Breath","Dragon Claw"
"Magmar","Tyranitar","Good","Bite","Stone Edge"
"Magmar","Gyarados","Good","Bite","Hydro Pump"
"Magmar","Gyarados","Good","Dragon Tail","Hydro Pump"
"Magmar","Gyarados","Good","Dragon Breath","Hydro Pump"
"Magmar","Feraligatr","Good","Water Gun","Hydro Pump"
"Magmar","Kingdra","Good","Water Gun","Hydro Pump"
"Arcanine","Rhydon","Supreme","Mud Slap","Stone Edge"
"Arcanine","Rhydon","Supreme","Mud Slap","Earthquake"
"Arcanine","Golem","Supreme","Mud Slap","Stone Edge"
"Arcanine","Golem","Supreme","Mud Slap","Earthquake"
"Arcanine","Golem","Supreme","Rock Throw","Stone Edge"
"Arcanine","Golem","Supreme","Rock Throw","Earthquake"
"Arcanine","Golem","Supreme","Mud Shot","Stone Edge"
"Arcanine","Golem","Supreme","Mud Shot","Earthquake"
"Arcanine","Vaporeon","Good","Water Gun","Hydro Pump"
"Arcanine","Vaporeon","Good","Water Gun","Aqua Tail"
"Arcanine","Feraligatr","Good","Water Gun","Hydro Pump"
"Arcanine","Kingdra","Good","Water Gun","Hydro Pump"
"Arcanine","Dragonite","Good","Dragon Tail","Outrage"
"Arcanine","Dragonite","Good","Dragon Tail","Hurricane"
"Arcanine","Dragonite","Good","Dragon Tail","Dragon Claw"
"Arcanine","Dragonite","Good","Dragon Breath","Outrage"
"Arcanine","Dragonite","Good","Dragon Breath","Hurricane"
"Arcanine","Dragonite","Good","Dragon Breath","Dragon Claw"
"Arcanine","Tyranitar","Good","Bite","Stone Edge"
"Arcanine","Omastar","Good","Rock Throw","Rock Slide"
"Arcanine","Omastar","Good","Rock Throw","Hydro Pump"
"Arcanine","Omastar","Good","Rock Throw","Rock Blast"
"Arcanine","Omastar","Good","Water Gun","Rock Slide"
"Arcanine","Omastar","Good","Water Gun","Hydro Pump"
"Arcanine","Omastar","Good","Water Gun","Rock Blast"
"Alakazam","Tyranitar","Supreme","Bite","Crunch"
"Alakazam","Tyranitar","Supreme","Bite","Stone Edge"
"Alakazam","Scizor","Good","Fury Cutter","X-Scissor"
"Alakazam","Pinsir","Good","Fury Cutter","X-Scissor"
"Alakazam","Pinsir","Good","Bug Bite","X-Scissor"
"Alakazam","Houndoom","Good","Snarl","Foul Play"
"Alakazam","Dragonite","Good","Dragon Tail","Outrage"
"Alakazam","Dragonite","Good","Dragon Tail","Dragon Claw"
"Alakazam","Dragonite","Good","Dragon Tail","Hurricane"
"Alakazam","Dragonite","Good","Dragon Breath","Outrage"
"Alakazam","Dragonite","Good","Dragon Breath","Dragon Claw"
"Alakazam","Dragonite","Good","Dragon Breath","Hurricane"
"Alakazam","Gyarados","Good","Dragon Tail","Crunch"
"Alakazam","Gyarados","Good","Bite","Crunch"
"Alakazam","Gyarados","Good","Dragon Breath","Crunch"
"Alakazam","Snorlax","Tank","Lick","Hyper Beam"
"Alakazam","Snorlax","Tank","Lick","Body Slam"
"Machamp","Lugia","Supreme","Extrasensory","Future Sight"
"Machamp","Lugia","Supreme","Extrasensory","Sky Attack"
"Machamp","Alakazam","Supreme","Confusion","Future Sight"
"Machamp","Alakazam","Supreme","Psycho Cut","Future Sight"
"Machamp","Espeon","Supreme","Confusion","Future Sight"
"Machamp","Espeon","Supreme","Zen Headbutt","Future Sight"
"Machamp","Dragonite","Good","Dragon Tail","Hurricane"
"Machamp","Dragonite","Good","Dragon Breath","Hurricane"
"Machamp","Exeggutor","Good","Confusion","Psychic"
"Machamp","Exeggutor","Good","Confusion","Solar Beam"
"Machamp","Exeggutor","Good","Extrasensory","Psychic"
"Machamp","Exeggutor","Good","Extrasensory","Solar Beam"
"Machamp","Gengar","Good","Shadow Claw","Shadow Ball"
"Machamp","Gengar","Good","Shadow Claw","Sludge Bomb"
"Machamp","Gengar","Good","Hex","Shadow Ball"
"Machamp","Gengar","Good","Hex","Sludge Bomb"
"Machamp","Charizard","Good","Air Slash","Overheat"
"Machamp","Charizard","Good","Air Slash","Flamethrower"
"Machamp","Charizard","Good","Wing Attack","Overheat"
"Machamp","Charizard","Good","Wing Attack","Flamethrower"
"Machamp","Slowbro","Tank","Confusion","Psychic"
"Machamp","Slowking","Tank","Confusion","Psychic"
"Machamp","Gyarados","Tank","Dragon Tail","Hydro Pump"
"Machamp","Gyarados","Tank","Dragon Breath","Hydro Pump"
"Machamp","Gyarados","Tank","Bite","Hydro Pump"
"Gengar","Tyranitar","Supreme","Bite","Crunch"
"Gengar","Tyranitar","Supreme","Bite","Stone Edge"
"Gengar","Houndoom","Good","Snarl","Foul Play"
"Gengar","Rhydon","Good","Mud Slap","Earthquake"
"Gengar","Golem","Good","Mud Slap","Earthquake"
"Gengar","Golem","Good","Mud Shot","Earthquake"
"Gengar","Dragonite","Good","Dragon Tail","Outrage"
"Gengar","Dragonite","Good","Dragon Tail","Hurricane"
"Gengar","Dragonite","Good","Dragon Tail","Dragon Claw"
"Gengar","Dragonite","Good","Dragon Breath","Outrage"
"Gengar","Dragonite","Good","Dragon Breath","Hurricane"
"Gengar","Dragonite","Good","Dragon Breath","Dragon Claw"
"Gengar","Gyarados","Good","Dragon Tail","Crunch"
"Gengar","Gyarados","Good","Bite","Crunch"
"Gengar","Crobat","Good","Bite","Shadow Ball"
"Gengar","Alakazam","Glass","Confusion","Future Sight"
"Gengar","Alakazam","Glass","Psycho Cut","Future Sight"
"Gengar","Espeon","Glass","Confusion","Future Sight"
"Gengar","Espeon","Glass","Zen Headbutt","Future Sight"
"Gengar","Exeggutor","Glass","Confusion","Psychic"
"Gengar","Exeggutor","Glass","Extrasensory","Psychic"
"Gengar","Gengar","Glass","Shadow Claw","Shadow Ball"
"Gengar","Snorlax","Tank","Lick","Earthquake"
"Vaporeon","Exeggutor","Supreme","Bullet Seed","Solar Beam"
"Vaporeon","Exeggutor","Supreme","Bullet Seed","Seed Bomb"
"Vaporeon","Exeggutor","Supreme","Confusion","Solar Beam"
"Vaporeon","Exeggutor","Supreme","Confusion","Seed Bomb"
"Vaporeon","Exeggutor","Supreme","Extrasensory","Solar Beam"
"Vaporeon","Exeggutor","Supreme","Extrasensory","Seed Bomb"
"Vaporeon","Venusaur","Supreme","Razor Leaf","Solar Beam"
"Vaporeon","Venusaur","Supreme","Razor Leaf","Petal Blizzard"
"Vaporeon","Venusaur","Supreme","Vine Whip","Solar Beam"
"Vaporeon","Venusaur","Supreme","Vine Whip","Petal Blizzard"
"Vaporeon","Vileplume","Supreme","Razor Leaf","Solar Beam"
"Vaporeon","Vileplume","Supreme","Razor Leaf","Petal Blizzard"
"Vaporeon","Victreebel","Supreme","Razor Leaf","Solar Beam"
"Vaporeon","Tangela","Supreme","Vine Whip","Solar Beam"
"Vaporeon","Tangela","Supreme","Vine Whip","Grass Knot"
"Vaporeon","Jolteon","Good","Thunder Shock","Thunderbolt"
"Vaporeon","Sunflora","Good","Razor Leaf","Solar Beam"
"Vaporeon","Sunflora","Good","Razor Leaf","Petal Blizzard"
"Vaporeon","Dragonite","Good","Dragon Tail","Outrage"
"Vaporeon","Dragonite","Good","Dragon Tail","Hurricane"
"Vaporeon","Dragonite","Good","Dragon Tail","Dragon Claw"
"Vaporeon","Dragonite","Good","Dragon Breath","Outrage"
"Vaporeon","Dragonite","Good","Dragon Breath","Hurricane"
"Vaporeon","Dragonite","Good","Dragon Breath","Dragon Claw"
"Vaporeon","Meganium","Tank","Razor Leaf","Solar Beam"
"Vaporeon","Meganium","Tank","Razor Leaf","Petal Blizzard"
"Jolteon","Rhydon","Supreme","Mud Slap","Earthquake"
"Jolteon","Golem","Supreme","Mud Slap","Earthquake"
"Jolteon","Golem","Supreme","Mud Shot","Earthquake"
"Jolteon","Donphan","Good","Counter","Earthquake"
"Jolteon","Sandslash","Good","Mud Shot","Earthquake"
"Jolteon","Nidoking","Good","Fury Cutter","Earthquake"
"Jolteon","Dragonite","Glass","Dragon Tail","Outrage"
"Jolteon","Dragonite","Glass","Dragon Tail","Dragon Claw"
"Jolteon","Dragonite","Glass","Dragon Breath","Outrage"
"Jolteon","Dragonite","Glass","Dragon Breath","Dragon Claw"
"Jolteon","Gengar","Glass","Shadow Claw","Shadow Ball"
"Jolteon","Gengar","Glass","Shadow Claw","Sludge Bomb"
"Jolteon","Gengar","Glass","Hex","Shadow Ball"
"Jolteon","Gengar","Glass","Hex","Sludge Bomb"
"Jolteon","Gengar","Glass","Sucker Punch","Shadow Ball"
"Jolteon","Gengar","Glass","Sucker Punch","Sludge Bomb"
"Flareon","Omastar","Supreme","Water Gun","Hydro Pump"
"Flareon","Omastar","Supreme","Water Gun","Rock Slide"
"Flareon","Omastar","Supreme","Water Gun","Rock Blast"
"Flareon","Omastar","Supreme","Rock Throw","Hydro Pump"
"Flareon","Omastar","Supreme","Rock Throw","Rock Slide"
"Flareon","Omastar","Supreme","Rock Throw","Rock Blast"
"Flareon","Golem","Good","Mud Slap","Stone Edge"
"Flareon","Golem","Good","Mud Slap","Earthquake"
"Flareon","Golem","Good","Rock Throw","Stone Edge"
"Flareon","Golem","Good","Rock Throw","Earthquake"
"Flareon","Golem","Good","Mud Shot","Stone Edge"
"Flareon","Golem","Good","Mud Shot","Earthquake"
"Flareon","Rhydon","Good","Mud Slap","Stone Edge"
"Flareon","Rhydon","Good","Mud Slap","Earthquake"
"Flareon","Vaporeon","Good","Water Gun","Hydro Pump"
"Flareon","Vaporeon","Good","Water Gun","Aqua Tail"
"Flareon","Feraligatr","Good","Water Gun","Hydro Pump"
"Flareon","Kingdra","Good","Water Gun","Hydro Pump"
"Flareon","Gyarados","Good","Dragon Tail","Hydro Pump"
"Flareon","Gyarados","Good","Dragon Breath","Hydro Pump"
"Flareon","Gyarados","Good","Bite","Hydro Pump"
"Flareon","Dragonite","Good","Dragon Tail","Outrage"
"Flareon","Dragonite","Good","Dragon Tail","Dragon Claw"
"Flareon","Dragonite","Good","Dragon Tail","Hurricane"
"Flareon","Dragonite","Good","Dragon Breath","Outrage"
"Flareon","Dragonite","Good","Dragon Breath","Dragon Claw"
"Flareon","Dragonite","Good","Dragon Breath","Hurricane"
"Flareon","Tyranitar","Good","Bite","Stone Edge"
"Venusaur","Flareon","Supreme","Fire Spin","Overheat"
"Venusaur","Flareon","Supreme","Fire Spin","Flamethrower"
"Venusaur","Charizard","Supreme","Fire Spin","Overheat"
"Venusaur","Charizard","Supreme","Fire Spin","Flamethrower"
"Venusaur","Charizard","Supreme","Air Slash","Overheat"
"Venusaur","Charizard","Supreme","Air Slash","Flamethrower"
"Venusaur","Charizard","Supreme","Wing Attack","Overheat"
"Venusaur","Charizard","Supreme","Wing Attack","Flamethrower"
"Venusaur","Arcanine","Good","Fire Fang","Flamethrower"
"Venusaur","Dragonite","Good","Dragon Tail","Outrage"
"Venusaur","Dragonite","Good","Dragon Tail","Hurricane"
"Venusaur","Dragonite","Good","Dragon Tail","Dragon Claw"
"Venusaur","Dragonite","Good","Dragon Breath","Outrage"
"Venusaur","Dragonite","Good","Dragon Breath","Hurricane"
"Venusaur","Dragonite","Good","Dragon Breath","Dragon Claw"
"Venusaur","Exeggutor","Good","Confusion","Psychic"
"Venusaur","Exeggutor","Good","Extrasensory","Psychic"
"Venusaur","Espeon","Glass","Confusion","Future Sight"
"Venusaur","Espeon","Glass","Zen Headbutt","Future Sight"
"Venusaur","Alakazam","Glass","Confusion","Future Sight"
"Venusaur","Alakazam","Glass","Psycho Cut","Future Sight"
"Charizard","Golem","Supreme","Rock Throw","Stone Edge"
"Charizard","Golem","Supreme","Rock Throw","Rock Blast"
"Charizard","Golem","Supreme","Mud Slap","Stone Edge"
"Charizard","Golem","Supreme","Mud Slap","Rock Blast"
"Charizard","Golem","Supreme","Mud Shot","Stone Edge"
"Charizard","Golem","Supreme","Mud Shot","Rock Blast"
"Charizard","Omastar","Supreme","Rock Throw","Rock Slide"
"Charizard","Omastar","Supreme","Rock Throw","Hydro Pump"
"Charizard","Omastar","Supreme","Rock Throw","Rock Blast"
"Charizard","Omastar","Supreme","Water Gun","Rock Slide"
"Charizard","Omastar","Supreme","Water Gun","Hydro Pump"
"Charizard","Omastar","Supreme","Water Gun","Rock Blast"
"Charizard","Rhydon","Good","Mud Slap","Stone Edge"
"Charizard","Tyranitar","Good","Bite","Stone Edge"
"Charizard","Vaporeon","Good","Water Gun","Hydro Pump"
"Charizard","Vaporeon","Good","Water Gun","Aqua Tail"
"Charizard","Feraligatr","Good","Water Gun","Hydro Pump"
"Charizard","Kingdra","Good","Water Gun","Hydro Pump"
"Charizard","Sudowoodo","Glass","Rock Throw","Stone Edge"
"Charizard","Sudowoodo","Glass","Rock Throw","Rock Slide"
"Charizard","Jolteon","Glass","Thunder Shock","Thunderbolt"
"Blastoise","Jolteon","Supreme","Thunder Shock","Thunderbolt"
"Blastoise","Exeggutor","Good","Bullet Seed","Solar Beam"
"Blastoise","Exeggutor","Good","Bullet Seed","Seed Bomb"
"Blastoise","Venusaur","Good","Razor Leaf","Solar Beam"
"Blastoise","Venusaur","Good","Razor Leaf","Petal Blizzard"
"Blastoise","Venusaur","Good","Vine Whip","Solar Beam"
"Blastoise","Venusaur","Good","Vine Whip","Petal Blizzard"
"Blastoise","Vileplume","Good","Razor Leaf","Solar Beam"
"Blastoise","Vileplume","Good","Razor Leaf","Petal Blizzard"
"Blastoise","Victreebel","Good","Razor Leaf","Solar Beam"
"Blastoise","Victreebel","Good","Razor Leaf","Leaf Blade"
"Blastoise","Tangela","Good","Vine Whip","Solar Beam"
"Blastoise","Tangela","Good","Vine Whip","Grass Knot"
"Blastoise","Dragonite","Good","Dragon Tail","Outrage"
"Blastoise","Dragonite","Good","Dragon Tail","Dragon Claw"
"Blastoise","Dragonite","Good","Dragon Tail","Hurricane"
"Blastoise","Dragonite","Good","Dragon Breath","Outrage"
"Blastoise","Dragonite","Good","Dragon Breath","Dragon Claw"
"Blastoise","Dragonite","Good","Dragon Breath","Hurricane"
"Blastoise","Magneton","Good","Spark","Zap Cannon"
"Blastoise","Magneton","Good","Charge Beam","Zap Cannon"
"Blastoise","Magneton","Good","Thunder Shock","Zap Cannon"
"Blastoise","Ampharos","Good","Charge Beam","Zap Cannon"
"Rhydon","Vaporeon","Supreme","Water Gun","Hydro Pump"
"Rhydon","Vaporeon","Supreme","Water Gun","Aqua Tail"
"Rhydon","Exeggutor","Good","Bullet Seed","Solar Beam"
"Rhydon","Exeggutor","Good","Bullet Seed","Seed Bomb"
"Rhydon","Venusaur","Good","Razor Leaf","Solar Beam"
"Rhydon","Venusaur","Good","Razor Leaf","Petal Blizzard"
"Rhydon","Venusaur","Good","Vine Whip","Solar Beam"
"Rhydon","Venusaur","Good","Vine Whip","Petal Blizzard"
"Rhydon","Vileplume","Good","Razor Leaf","Solar Beam"
"Rhydon","Vileplume","Good","Razor Leaf","Petal Blizzard"
"Rhydon","Victreebel","Good","Razor Leaf","Solar Beam"
"Rhydon","Victreebel","Good","Razor Leaf","Leaf Blade"
"Rhydon","Tangela","Good","Vine Whip","Solar Beam"
"Rhydon","Tangela","Good","Vine Whip","Grass Knot"
"Rhydon","Feraligatr","Good","Water Gun","Hydro Pump"
"Rhydon","Gyarados","Tank","Dragon Tail","Hydro Pump"
"Rhydon","Gyarados","Tank","Dragon Breath","Hydro Pump"
"Rhydon","Gyarados","Tank","Bite","Hydro Pump"
"Rhydon","Meganium","Tank","Razor Leaf","Solar Beam"
"Rhydon","Meganium","Tank","Razor Leaf","Petal Blizzard"
"Rhydon","Poliwrath","Tank","Bubble","Hydro Pump"
"Rhydon","Poliwrath","Tank","Bubble","Dynamic Punch"
"Rhydon","Poliwrath","Tank","Rock Smash","Hydro Pump"
"Rhydon","Poliwrath","Tank","Rock Smash","Dynamic Punch"
"Rhydon","Machamp","Tank","Counter","Dynamic Punch"
"Rhydon","Machamp","Tank","Counter","Close Combat"
"Rhydon","Machamp","Tank","Counter","Cross Chop"
"Rhydon","Machamp","Tank","Karate Chop","Dynamic Punch"
"Rhydon","Machamp","Tank","Karate Chop","Close Combat"
"Rhydon","Machamp","Tank","Karate Chop","Cross Chop"
"Lapras","Machamp","Supreme","Counter","Dynamic Punch"
"Lapras","Machamp","Supreme","Counter","Close Combat"
"Lapras","Machamp","Supreme","Counter","Cross Chop"
"Lapras","Machamp","Supreme","Karate Chop","Dynamic Punch"
"Lapras","Machamp","Supreme","Karate Chop","Close Combat"
"Lapras","Machamp","Supreme","Karate Chop","Cross Chop"
"Lapras","Heracross","Good","Counter","Close Combat"
"Lapras","Jolteon","Good","Thunder Shock","Thunderbolt"
"Lapras","Magneton","Good","Spark","Zap Cannon"
"Lapras","Magneton","Good","Charge Beam","Zap Cannon"
"Lapras","Magneton","Good","Thunder Shock","Zap Cannon"
"Lapras","Alakazam","Good","Psycho Cut","Focus Blast"
"Lapras","Alakazam","Good","Psycho Cut","Future Sight"
"Lapras","Alakazam","Good","Confusion","Focus Blast"
"Lapras","Alakazam","Good","Confusion","Future Sight"
"Lapras","Gengar","Good","Shadow Claw","Shadow Ball"
"Lapras","Gengar","Good","Shadow Claw","Sludge Bomb"
"Lapras","Gengar","Good","Hex","Shadow Ball"
"Lapras","Gengar","Good","Hex","Sludge Bomb"
"Lapras","Gengar","Good","Sucker Punch","Shadow Ball"
"Lapras","Gengar","Good","Sucker Punch","Sludge Bomb"
"Lapras","Exeggutor","Good","Bullet Seed","Solar Beam"
"Lapras","Exeggutor","Good","Bullet Seed","Seed Bomb"
"Lapras","Exeggutor","Good","Confusion","Solar Beam"
"Lapras","Exeggutor","Good","Confusion","Seed Bomb"
"Lapras","Exeggutor","Good","Extrasensory","Solar Beam"
"Lapras","Exeggutor","Good","Extrasensory","Seed Bomb"
"Lapras","Victreebel","Good","Razor Leaf","Solar Beam"
"Lapras","Victreebel","Good","Razor Leaf","Leaf Blade"
"Lapras","Poliwrath","Tank","Rock Smash","Dynamic Punch"
"Lapras","Omastar","Tank","Rock Throw","Rock Slide"
"Lapras","Omastar","Tank","Rock Throw","Rock Blast"
"Lapras","Tyranitar","Tank","Bite","Stone Edge"
"Lapras","Arcanine","Tank","Bite","Wild Charge"
"Lapras","Arcanine","Tank","Fire Fang","Wild Charge"
"Lapras","Arcanine","Tank","Snarl","Wild Charge"
"Snorlax","Machamp","Supreme","Counter","Dynamic Punch"
"Snorlax","Machamp","Supreme","Counter","Close Combat"
"Snorlax","Machamp","Supreme","Counter","Cross Chop"
"Snorlax","Machamp","Supreme","Karate Chop","Dynamic Punch"
"Snorlax","Machamp","Supreme","Karate Chop","Close Combat"
"Snorlax","Machamp","Supreme","Karate Chop","Cross Chop"
"Snorlax","Heracross","Good","Counter","Close Combat"
"Snorlax","Dragonite","Good","Dragon Tail","Outrage"
"Snorlax","Dragonite","Good","Dragon Tail","Hurricane"
"Snorlax","Dragonite","Good","Dragon Tail","Dragon Claw"
"Snorlax","Dragonite","Good","Dragon Breath","Outrage"
"Snorlax","Dragonite","Good","Dragon Breath","Hurricane"
"Snorlax","Dragonite","Good","Dragon Breath","Dragon Claw"
"Snorlax","Ursaring","Good","Counter","Close Combat"
"Snorlax","Poliwrath","Good","Rock Smash","Dynamic Punch"
"Snorlax","Alakazam","Good","Confusion","Focus Blast"
"Snorlax","Alakazam","Good","Confusion","Future Sight"
"Snorlax","Alakazam","Good","Psycho Cut","Focus Blast"
"Snorlax","Alakazam","Good","Psycho Cut","Future Sight"
"Snorlax","Espeon","Good","Confusion","Future Sight"
"Snorlax","Espeon","Good","Zen Headbutt","Future Sight"
"Snorlax","Exeggutor","Good","Confusion","Solar Beam"
"Snorlax","Exeggutor","Good","Extrasensory","Solar Beam"
"Snorlax","Charizard","Good","Fire Spin","Overheat"
"Snorlax","Charizard","Good","Fire Spin","Flamethrower"
"Snorlax","Charizard","Good","Air Slash","Overheat"
"Snorlax","Charizard","Good","Air Slash","Flamethrower"
"Snorlax","Charizard","Good","Wing Attack","Overheat"
"Snorlax","Charizard","Good","Wing Attack","Flamethrower"
"Snorlax","Primeape","Glass","Counter","Cross Chop"
"Snorlax","Primeape","Glass","Counter","Close Combat"
"Snorlax","Hitmonlee","Glass","Rock Smash","Close Combat"
"Snorlax","Hitmonlee","Glass","Rock Smash","Brick Break"
"Snorlax","Hitmonchan","Glass","Counter","Close Combat"
"Snorlax","Hitmonchan","Glass","Counter","Brick Break"
"Snorlax","Tyranitar","Tank","Bite","Stone Edge"
"Snorlax","Tyranitar","Tank","Bite","Crunch"
"Snorlax","Donphan","Tank","Counter","Earthquake"
"Tyranitar","Machamp","Supreme","Counter","Dynamic Punch"
"Tyranitar","Machamp","Supreme","Counter","Close Combat"
"Tyranitar","Machamp","Supreme","Counter","Cross Chop"
"Tyranitar","Machamp","Supreme","Karate Chop","Dynamic Punch"
"Tyranitar","Machamp","Supreme","Karate Chop","Close Combat"
"Tyranitar","Machamp","Supreme","Karate Chop","Cross Chop"
"Tyranitar","Poliwrath","Supreme","Rock Smash","Dynamic Punch"
